Tüketilen Aktif Enerji Total Tariff Toplam L1-L3 (15m) [TR1_Sebeke];;;;
Sayı;Zaman;Tüketilen Aktif Enerji Total Tariff Toplam L1-L3 (15m) [TR1_Sebeke]-avg[Wh];Tüketilen Aktif Enerji Total Tariff Toplam L1-L3 (15m) [TR1_Sebeke]-min[Wh];Tüketilen Aktif Enerji Total Tariff Toplam L1-L3 (15m) [TR1_Sebeke]-max[Wh]
121;08.08.2019 21:30;10752662;10693200;10812000
122;08.08.2019 21:45;10872570;10812000;10932000
123;08.08.2019 22:00;10990645;10932000;11048400
124;08.08.2019 22:15;11108132;11052600;11164800
125;08.08.2019 22:30;11223370;11166600;11269800
126;08.08.2019 22:45;11309798;11270400;11346600
127;08.08.2019 23:00;11379525;11347800;11409600
128;08.08.2019 23:15;11438625;11410800;11466600
129;08.08.2019 23:30;11494795;11467800;11522400
130;08.08.2019 23:45;11547752;11523600;11570400
131;09.08.2019 00:00;11592441;11571000;11614800
132;09.08.2019 00:15;11636590;11615400;11658000
133;09.08.2019 00:30;11678600;11659800;11698200
134;09.08.2019 00:45;11719908;11699400;11739000
135;09.08.2019 01:00;11759868;11739600;11779800
136;09.08.2019 01:15;11800141;11780400;11820000
137;09.08.2019 01:30;11840885;11821200;11860200
138;09.08.2019 01:45;11880714;11860800;11900400
139;09.08.2019 02:00;11921716;11901600;11940600
140;09.08.2019 02:15;11960226;11941200;11978400
141;09.08.2019 02:30;11995407;11979000;12012600
142;09.08.2019 02:45;12030492;12013200;12045600
143;09.08.2019 03:00;12063441;12046800;12079800
144;09.08.2019 03:15;12096539;12080400;12112800
145;09.08.2019 03:30;12131043;12113400;12150000
146;09.08.2019 03:45;12167775;12150000;12186000
147;09.08.2019 04:00;12204580;12186600;12223200
148;09.08.2019 04:15;12241295;12223800;12259800
149;09.08.2019 04:30;12277560;12260400;12295800
150;09.08.2019 04:45;12313691;12296400;12330600
151;09.08.2019 05:00;12349679;12332400;12367800
152;09.08.2019 05:15;12386320;12369000;12404400
153;09.08.2019 05:30;12422924;12405000;12442200
154;09.08.2019 05:45;12460604;12442200;12480000
155;09.08.2019 06:00;12499741;12481200;12518400
156;09.08.2019 06:15;12537736;12519000;12555000
157;09.08.2019 06:30;12572005;12555600;12589800
158;09.08.2019 06:45;12607892;12590400;12625200
159;09.08.2019 07:00;12644676;12626400;12662400
160;09.08.2019 07:15;12681555;12663000;12701400
161;09.08.2019 07:30;12720702;12701400;12740400
162;09.08.2019 07:45;12760544;12741000;12781800
163;09.08.2019 08:00;12800671;12781800;12821400
164;09.08.2019 08:15;12845471;12822600;12870000
165;09.08.2019 08:30;12895029;12871800;12919800
166;09.08.2019 08:45;12946632;12921000;12972000
167;09.08.2019 09:00;12998925;12972600;13027200
168;09.08.2019 09:15;13058052;13028400;13088400
169;09.08.2019 09:30;13120088;13089600;13150800
170;09.08.2019 09:45;13186164;13152000;13221000
171;09.08.2019 10:00;13261960;13222200;13305600
172;09.08.2019 10:15;13355898;13307400;13402200
173;09.08.2019 10:30;13453972;13404000;13501200
174;09.08.2019 10:45;13551572;13503000;13603200
175;09.08.2019 11:00;13657082;13603200;13710000
176;09.08.2019 11:15;13769485;13711800;13825200
177;09.08.2019 11:30;13885963;13827600;13944600
178;09.08.2019 11:45;14005351;13946400;14067000
179;09.08.2019 12:00;14128304;14067000;14186400
