Tüketilen Aktif Enerji Total Tariff Toplam L1-L3 (15m) [TR1_Sebeke];;;;
Sayı;Zaman;Tüketilen Aktif Enerji Total Tariff Toplam L1-L3 (15m) [TR1_Sebeke]-avg[Wh];Tüketilen Aktif Enerji Total Tariff Toplam L1-L3 (15m) [TR1_Sebeke]-min[Wh];Tüketilen Aktif Enerji Total Tariff Toplam L1-L3 (15m) [TR1_Sebeke]-max[Wh]
525;13.08.2019 02:30;42112276;42098400;42125400
526;13.08.2019 02:45;42139376;42126000;42152400
527;13.08.2019 03:00;42166772;42153000;42180000
528;13.08.2019 03:15;42194444;42180600;42208200
529;13.08.2019 03:30;42222840;42208800;42236400
530;13.08.2019 03:45;42251476;42237000;42264600
531;13.08.2019 04:00;42278548;42265200;42292200
532;13.08.2019 04:15;42306916;42292800;42320400
533;13.08.2019 04:30;42334312;42321000;42348000
534;13.08.2019 04:45;42362012;42348600;42375000
535;13.08.2019 05:00;42389004;42375000;42402600
536;13.08.2019 05:15;42416868;42403200;42430200
537;13.08.2019 05:30;42444412;42430800;42458400
538;13.08.2019 05:45;42472796;42459000;42486600
539;13.08.2019 06:00;42501648;42487800;42515400
540;13.08.2019 06:15;42529376;42516600;42543000
541;13.08.2019 06:30;42556552;42543000;42570000
542;13.08.2019 06:45;42583684;42570000;42597000
543;13.08.2019 07:00;42610664;42597600;42624000
544;13.08.2019 07:15;42639344;42624600;42654000
545;13.08.2019 07:30;42669376;42655800;42684600
546;13.08.2019 07:45;42699844;42685200;42715200
547;13.08.2019 08:00;42730472;42715800;42746400
548;13.08.2019 08:15;42763828;42747000;42781800
549;13.08.2019 08:30;42799580;42782400;42816000
550;13.08.2019 08:45;42834112;42816600;42851400
551;13.08.2019 09:00;42869684;42852000;42886200
552;13.08.2019 09:15;42907132;42887400;42927000
553;13.08.2019 09:30;42948536;42927600;42969000
554;13.08.2019 09:45;42992736;42969600;43015200
555;13.08.2019 10:00;43043264;43015800;43078200
556;13.08.2019 10:15;43123812;43079400;43176000
557;13.08.2019 10:30;43231712;43177800;43286400
558;13.08.2019 10:45;43344840;43288200;43396800
559;13.08.2019 11:00;43453836;43398600;43508400
560;13.08.2019 11:15;43568032;43514400;43624800
561;13.08.2019 11:30;43683952;43626600;43738800
562;13.08.2019 11:45;43797200;43740600;43853400
563;13.08.2019 12:00;43911388;43855800;43971600
564;13.08.2019 12:15;44028856;43974000;44088000
565;13.08.2019 12:30;44150296;44092200;44205600
566;13.08.2019 12:45;44266584;44208000;44327400
567;13.08.2019 13:00;44389900;44331600;44449800
568;13.08.2019 13:15;44511736;44452200;44572800
569;13.08.2019 13:30;44635284;44574600;44695200
570;13.08.2019 13:45;44756668;44697600;44816400
571;13.08.2019 14:00;44877952;44818800;44938800
572;13.08.2019 14:15;45000864;44943000;45058800
573;13.08.2019 14:30;45123704;45063000;45186600
574;13.08.2019 14:45;45250024;45186600;45313200
575;13.08.2019 15:00;45379136;45315600;45441600
576;13.08.2019 15:15;45507500;45444000;45568200
577;13.08.2019 15:30;45631784;45570600;45693000
578;13.08.2019 15:45;45757948;45695400;45820200
579;13.08.2019 16:00;45882196;45822600;45944400
580;13.08.2019 16:15;46006804;45946200;46070400
581;13.08.2019 16:30;46128276;46070400;46192200
582;13.08.2019 16:45;46253988;46194600;46315800
583;13.08.2019 17:00;46381896;46317600;46439400
584;13.08.2019 17:15;46503592;46441200;46562400
585;13.08.2019 17:30;46625392;46564800;46684200
586;13.08.2019 17:45;46750956;46686600;46810200
587;13.08.2019 18:00;46872388;46810200;46934400
588;13.08.2019 18:15;46998256;46936200;47059800
589;13.08.2019 18:30;47123628;47062200;47184000
590;13.08.2019 18:45;47248740;47185800;47310000
591;13.08.2019 19:00;47371860;47310000;47430600
592;13.08.2019 19:15;47492176;47433000;47551200
593;13.08.2019 19:30;47610376;47553000;47671800
594;13.08.2019 19:45;47734584;47674200;47792400
595;13.08.2019 20:00;47855124;47794800;47911200
596;13.08.2019 20:15;47971084;47913600;48033000
597;13.08.2019 20:30;48091380;48033000;48148200
598;13.08.2019 20:45;48206936;48152400;48268200
599;13.08.2019 21:00;48328176;48270000;48384000
600;13.08.2019 21:15;48444952;48388200;48501600
601;13.08.2019 21:30;48560636;48503400;48617400
602;13.08.2019 21:45;48676480;48619800;48733200
603;13.08.2019 22:00;48789704;48735600;48847200
604;13.08.2019 22:15;48900172;48849000;48946200
605;13.08.2019 22:30;48987440;48946200;49030800
606;13.08.2019 22:45;49068920;49032600;49102200
607;13.08.2019 23:00;49135444;49103400;49164000
608;13.08.2019 23:15;49189712;49164000;49215000
609;13.08.2019 23:30;49239224;49215600;49261200
610;13.08.2019 23:45;49282004;49261800;49300800
611;14.08.2019 00:00;49318572;49300800;49336200
612;14.08.2019 00:15;49355888;49336800;49371600
613;14.08.2019 00:30;49388056;49372800;49403400
614;14.08.2019 00:45;49419564;49404000;49434000
615;14.08.2019 01:00;49449996;49434600;49464600
616;14.08.2019 01:15;49480752;49465200;49495200
617;14.08.2019 01:30;49511276;49495800;49525800
618;14.08.2019 01:45;49541728;49526400;49556400
619;14.08.2019 02:00;49572596;49557000;49586400
620;14.08.2019 02:15;49602460;49587600;49617600
621;14.08.2019 02:30;49632848;49618200;49647600
622;14.08.2019 02:45;49662540;49648200;49676400
623;14.08.2019 03:00;49692356;49677600;49707000
624;14.08.2019 03:15;49722508;49707600;49738200
625;14.08.2019 03:30;49753372;49738200;49768200
626;14.08.2019 03:45;49784220;49768800;49798200
627;14.08.2019 04:00;49813996;49798800;49828800
628;14.08.2019 04:15;49844396;49828800;49858800
629;14.08.2019 04:30;49874356;49859400;49888800
630;14.08.2019 04:45;49903408;49889400;49918800
631;14.08.2019 05:00;49933684;49919400;49949400
632;14.08.2019 05:15;49965396;49950000;49980600
633;14.08.2019 05:30;49996204;49981800;50010600
634;14.08.2019 05:45;50026620;50011200;50040600
635;14.08.2019 06:00;50055988;50041200;50071200
636;14.08.2019 06:15;50085932;50071800;50100600
637;14.08.2019 06:30;50115348;50100600;50130000
638;14.08.2019 06:45;50144868;50130600;50160000
639;14.08.2019 07:00;50174896;50160000;50189400
640;14.08.2019 07:15;50203904;50189400;50218200
641;14.08.2019 07:30;50234724;50218800;50250000
642;14.08.2019 07:45;50267244;50250600;50283600
643;14.08.2019 08:00;50301044;50283600;50315400
644;14.08.2019 08:15;50334908;50316000;50352600
645;14.08.2019 08:30;50372772;50352600;50390400
646;14.08.2019 08:45;50410620;50391600;50430600
647;14.08.2019 09:00;50451012;50431200;50470200
648;14.08.2019 09:15;50490436;50471400;50512800
649;14.08.2019 09:30;50534996;50512800;50556600
650;14.08.2019 09:45;50580580;50557200;50605800
651;14.08.2019 10:00;50638532;50607000;50674800
652;14.08.2019 10:15;50715476;50676000;50758200
653;14.08.2019 10:30;50806004;50760000;50851800
654;14.08.2019 10:45;50900304;50853600;50948400
655;14.08.2019 11:00;50996800;50950200;51048000
656;14.08.2019 11:15;51099452;51049800;51150000
657;14.08.2019 11:30;51202528;51151800;51253200
658;14.08.2019 11:45;51306244;51255000;51355200
659;14.08.2019 12:00;51409048;51357000;51463200
660;14.08.2019 12:15;51518124;51465000;51571200
661;14.08.2019 12:30;51626900;51573000;51676800
662;14.08.2019 12:45;51733268;51680400;51784800
663;14.08.2019 13:00;51840896;51789000;51892800
664;14.08.2019 13:15;51946468;51895200;52000200
665;14.08.2019 13:30;52054308;52000200;52105800
666;14.08.2019 13:45;52161284;52107600;52218000
667;14.08.2019 14:00;52276460;52220400;52335000
668;14.08.2019 14:15;52393080;52337400;52449600
669;14.08.2019 14:30;52509312;52452000;52568400
670;14.08.2019 14:45;52630116;52570200;52687800
671;14.08.2019 15:00;52747704;52689600;52809600
672;14.08.2019 15:15;52868548;52809600;52927800
673;14.08.2019 15:30;52988744;52930200;53045400
674;14.08.2019 15:45;53104196;53045400;53161200
675;14.08.2019 16:00;53218388;53163000;53275800
676;14.08.2019 16:15;53333824;53277600;53391600
677;14.08.2019 16:30;53451604;53395800;53504400
678;14.08.2019 16:45;53560476;53506200;53618400
679;14.08.2019 17:00;53678432;53620200;53736600
680;14.08.2019 17:15;53797668;53738400;53859000
681;14.08.2019 17:30;53919040;53859600;53980200
682;14.08.2019 17:45;54042876;53982000;54103800
683;14.08.2019 18:00;54164560;54103800;54224400
684;14.08.2019 18:15;54285272;54226800;54348000
685;14.08.2019 18:30;54411096;54348000;54472800
686;14.08.2019 18:45;54536736;54474600;54598200
687;14.08.2019 19:00;54663476;54600600;54724200
688;14.08.2019 19:15;54788220;54728400;54850200
689;14.08.2019 19:30;54909552;54852000;54967800
690;14.08.2019 19:45;55032456;54973800;55092600
691;14.08.2019 20:00;55154916;55094400;55210200
692;14.08.2019 20:15;55272936;55214400;55332600
693;14.08.2019 20:30;55394732;55334400;55453800
694;14.08.2019 20:45;55514576;55455600;55576200
695;14.08.2019 21:00;55640280;55580400;55701000
696;14.08.2019 21:15;55762320;55703400;55821600
697;14.08.2019 21:30;55883160;55823400;55940400
698;14.08.2019 21:45;56000040;55944600;56059800
699;14.08.2019 22:00;56115956;56062200;56166000
700;14.08.2019 22:15;56206988;56167800;56245200
701;14.08.2019 22:30;56281200;56246400;56316600
702;14.08.2019 22:45;56349564;56317800;56380800
703;14.08.2019 23:00;56409700;56382000;56436600
704;14.08.2019 23:15;56463164;56437800;56489400
705;14.08.2019 23:30;56514388;56490000;56536800
706;14.08.2019 23:45;56559564;56538000;56581200
707;15.08.2019 00:00;56602456;56581200;56622600
708;15.08.2019 00:15;56644292;56623200;56664600
709;15.08.2019 00:30;56677488;56665200;56689200
710;15.08.2019 00:45;56701512;56689800;56713200
711;15.08.2019 01:00;56725076;56713800;56736000
712;15.08.2019 01:15;56746712;56736000;56758200
713;15.08.2019 01:30;56768940;56758200;56780400
714;15.08.2019 01:45;56790956;56780400;56801400
715;15.08.2019 02:00;56812700;56802000;56823600
716;15.08.2019 02:15;56834276;56823600;56845200
717;15.08.2019 02:30;56855764;56845200;56866800
718;15.08.2019 02:45;56877548;56866800;56887800
719;15.08.2019 03:00;56899068;56889000;56910000
720;15.08.2019 03:15;56921180;56910600;56932200
721;15.08.2019 03:30;56942872;56932200;56953800
722;15.08.2019 03:45;56965320;56954400;56976600
723;15.08.2019 04:00;56987636;56976600;56998800
724;15.08.2019 04:15;57010732;56999400;57021600
725;15.08.2019 04:30;57033016;57022200;57043800
726;15.08.2019 04:45;57055104;57044400;57066000
727;15.08.2019 05:00;57076776;57066000;57087000
728;15.08.2019 05:15;57098420;57087600;57108600
729;15.08.2019 05:30;57119896;57109200;57130200
730;15.08.2019 05:45;57145868;57131400;57160800
731;15.08.2019 06:00;57179292;57162000;57195000
732;15.08.2019 06:15;57206844;57195600;57218400
733;15.08.2019 06:30;57234240;57218400;57250200
734;15.08.2019 06:45;57266632;57250800;57282000
735;15.08.2019 07:00;57299200;57282600;57313800
736;15.08.2019 07:15;57330984;57314400;57346800
737;15.08.2019 07:30;57365128;57347400;57382200
738;15.08.2019 07:45;57399620;57382800;57416400
739;15.08.2019 08:00;57434956;57417000;57453600
740;15.08.2019 08:15;57474608;57453600;57496800
741;15.08.2019 08:30;57520728;57497400;57543600
742;15.08.2019 08:45;57568616;57544200;57592800
